FID,Shape *,type,idschool,district,name,dcode,address,x,y
110,Point,3,3110021706,ดอนเมือง,โรงเรียนบำรุงรวิวรรณวิทยา (ทุ่งสีกัน),1036,501 หมู่ 3 ถ.เตชะตุงคะ แขวงสีกัน เขตดอนเมือง,671001.047,1541474.626
111,Point,3,3110011801,จตุจักร,โรงเรียนวัดเสมียนนารี,1030,32 หมู่ 2 ถ.วิภาวดีรังสิต แขวงลาดยาว เขตจตุจักร,668197.553,1530624.61
112,Point,1,3110011802,จตุจักร,โรงเรียนวัดเทวสุนทร,1030,1 หมู่ 19 ถ.วิภาวดีรังสิต แขวงลาดยาว เขตจตุจักร,668811.532,1532118.514
113,Point,2,3110011803,จตุจักร,โรงเรียนบ้านลาดพร้าว,1030,หมู่ 13 ถ.ลาดพร้าว แขวงลาดยาว เขตจตุจักร,671632.462,1526680.238
114,Point,3,3110011804,จตุจักร,โรงเรียนรัตนโกสินทร์สมโภช(ราชทัณฑ์อุปถัมภ์),1030,111 ถ.งามวงศ์วาน แขวงลาดยาว เขตจตุจักร,667363.014,1531337.499
115,Point,3,3110011806,จตุจักร,โรงเรียนประชานิเวศน์,1030,ซ.10 ประชานิเวศน์ 1 แขวงลาดยาว เขตจตุจักร,667143.856,1530981.69
116,Point,3,3110021805,จตุจักร,โรงเรียนเสนานิคม,1030,1242 ถ.พหลโยธิน แขวงลาดยาว เขตจตุจักร,671671.994,1529687.801
117,Point,3,3110021807,จตุจักร,โรงเรียนมัธยมประชานิเวศน์,1030,ถ.เทศบาลรังรักษ์เหนือ แขวงลาดยาว เขตจตุจักร,667144.063,1530981.896
118,Point,3,3110012001,ลาดพร้าว,โรงเรียนลอยสายอนุสรณ์,1038,41 หมู่ 12 แขวงลาดพร้าว เขตลาดพร้าว,676430.508,1530668.213
119,Point,2,3110012003,ลาดพร้าว,โรงเรียนเทพวิทยา,1038,13/3 ซ.เสนานิคม 1 แขวงลาดพร้าว เขตลาดพร้าว,671949.062,1529741.398
120,Point,3,3110012004,ลาดพร้าว,โรงเรียนวัดลาดปลาเค้า,1038,63/1 หมู่ 2 แขวงจรเข้บัว เขตลาดพร้าว,673353.288,1531428.997
121,Point,3,3110012005,ลาดพร้าว,โรงเรียนเพชรถนอม (คลองเสือน้อย),1038,2/3 หมู่ 2 ถ.ลาดพร้าว เขตลาดพร้าว,674639.991,1528727.943
122,Point,3,3110012006,ลาดพร้าว,โรงเรียนคลองทรงกระเทียม,1038,1/4 หมู่ 8 แขวงลาดพร้าว เขตลาดพร้าว,674338.535,1526228.252
123,Point,3,3110022002,ลาดพร้าว,โรงเรียนวัดลาดพร้าว,1038,1 หมู่ 9 ถ.ลาดพร้าว 41 แขวงลาดพร้าว เขตลาดพร้าว,671896.41,1526525.25
124,Point,2,3110010701,บางซื่อ,โรงเรียนวัดประดู่ธรรมาธิปัตย์,1029,104 ถ.ประชาราษฎร์ แขวงบางซื่อ เขตบางซื่อ,664704.911,1526270.322
125,Point,3,3110010702,บางซื่อ,โรงเรียนวัดบางโพโอมาวาส,1029,101 ถ.ประชาราษฎร์สาย 1 แขวงบางซื่อ เขตบางซื่อ,664267.348,1527107.03
126,Point,3,3110010703,บางซื่อ,โรงเรียนวัดสร้อยทอง,1029,1333 ถ.ประชาราษฎร์สาย 1 แขวงบางซื่อ เขตบางซื่อ,664044.689,1527614.057
